РАЙОН,Код на училището,Училище - име,Код на паралелката,Паралелка - име,Балообразуване,Бал/2025
ОБОРИЩЕ,2216306,"Софийска математическа гимназия  ""Паисий Хилендарски"", ГР.СОФИЯ",4486,Математически (математика и физика) - АЕ (РИЧЕ),(1 * БЕЛ + 3 * МАТ) + (1 * БЕЛ + 1 * М),493.25
ОБОРИЩЕ,2216306,"Софийска математическа гимназия  ""Паисий Хилендарски"", ГР.СОФИЯ",2277,Математически (математика и информатика) - АЕ (РИЧЕ),(1 * БЕЛ + 3 * МАТ) + (1 * БЕЛ + 1 * М),490.5
ОБОРИЩЕ,2216306,"Софийска математическа гимназия  ""Паисий Хилендарски"", ГР.СОФИЯ",5011,Математически (математика и физика) - НЕ (ИИЧЕ),(1 * БЕЛ + 3 * МАТ) + (1 * БЕЛ + 1 * М),490
ЛОЗЕНЕЦ,2211304,"Национална природо-математическа  гимназия ""Академик Любомир Чакалов"", ГР.СОФИЯ",814,Математически - АЕ М Инф,(1 * БЕЛ + 3 * МАТ) + (1 * БЕЛ + 1 * М),488
ОБОРИЩЕ,2216306,"Софийска математическа гимназия  ""Паисий Хилендарски"", ГР.СОФИЯ",3909,Математически (математика и информатика) - НЕ (ИИЧЕ),(1 * БЕЛ + 3 * МАТ) + (1 * БЕЛ + 1 * М),487.5
ЛОЗЕНЕЦ,2211304,"Национална природо-математическа  гимназия ""Академик Любомир Чакалов"", ГР.СОФИЯ",821,Математически - НЕ М Инф,(1 * БЕЛ + 3 * МАТ) + (1 * БЕЛ + 1 * М),487.5
ОБОРИЩЕ,2216164,"164. гимназия с преподаване  на испански език ""Мигел де Сервантес"", ГР.СОФИЯ",2561,"Чужди езици - ИЕ интензивно, АЕ",(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М),475.5
МЛАДОСТ,2213350,"Технологично училище ""Електронни системи"" към Технически Университет - София, ГР.СОФИЯ",4922,"Програмиране на изкуствен интелект - АЕ, НЕ",(1 * БЕЛ + 3 * МАТ) + (1 * М + 1 * ФА),474.75
ЛОЗЕНЕЦ,2211304,"Национална природо-математическа  гимназия ""Академик Любомир Чакалов"", ГР.СОФИЯ",843,Природни науки - АЕ ХООС БЗО,"(1 * БЕЛ + 2 * МАТ + 1 * ХИМ, ОК) + (1 * БЗО + 1 * ХООС) или (1 * БЕЛ + 2 * МАТ + 1 * НПМГ, Х) + (1 * БЗО + 1 * ХООС)",472.2
МЛАДОСТ,2213350,"Технологично училище ""Електронни системи"" към Технически Университет - София, ГР.СОФИЯ",4921,"Системно програмиране - АЕ, НЕ",(1 * БЕЛ + 3 * МАТ) + (1 * М + 1 * ФА),471.75
ВЪЗРАЖДАНЕ,2204091,"91.НЕМСКА ЕЗИКОВА ГИМНАЗИЯ Професор Константин Гълъбов"", ГР.СОФИЯ",2644,"Чужди езици - НЕ интензивно, АЕ",(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М),468.5
МЛАДОСТ,2213350,"Технологично училище ""Електронни системи"" към Технически Университет - София, ГР.СОФИЯ",2127,"Системно програмиране - АЕ, РЕ",(1 * БЕЛ + 3 * МАТ) + (1 * М + 1 * ФА),467.25
ОБОРИЩЕ,2216164,"164. гимназия с преподаване  на испански език ""Мигел де Сервантес"", ГР.СОФИЯ",2564,"Чужди езици - ИЕ интензивно, ИтЕ",(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М),467
ЛОЗЕНЕЦ,2211304,"Национална природо-математическа  гимназия ""Академик Любомир Чакалов"", ГР.СОФИЯ",847,Икономическо развитие - АЕ ГИ М,"(1 * БЕЛ + 2 * МАТ + 1 * ГЕО, ОК) + (1 * М + 1 * ГИ) или (1 * БЕЛ + 2 * МАТ + 1 * НПМГ, Г) + (1 * М + 1 * ГИ)",465
МЛАДОСТ,2213350,"Технологично училище ""Електронни системи"" към Технически Университет - София, ГР.СОФИЯ",2132,"Компютърни мрежи - АЕ, РЕ",(1 * БЕЛ + 3 * МАТ) + (1 * М + 1 * ФА),464.25
ТРИАДИЦА,2224073,"73.СУ с преподаване на чужди езици  ""Владислав Граматик"", ГР.СОФИЯ",2658,"Чужди езици - НЕ интензивно, АЕ",(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М),463.5
ОБОРИЩЕ,2216164,"164. гимназия с преподаване  на испански език ""Мигел де Сервантес"", ГР.СОФИЯ",2562,"Чужди езици - ИЕ интензивно, ФЕ",(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М),461.5
ОБОРИЩЕ,2216164,"164. гимназия с преподаване  на испански език ""Мигел де Сервантес"", ГР.СОФИЯ",2569,"Чужди езици - ИЕ интензивно, ПортЕ",(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М),461
ЛОЗЕНЕЦ,2211419,"СОФИЙСКА ГИМНАЗИЯ ПО СТРОИТЕЛСТВО, АРХИТЕКТУРА И ГЕОДЕЗИЯ  ""ХРИСТО БОТЕВ"", ГР.СОФИЯ",719,Строителство и архитектура - АЕ,(1 * БЕЛ + 3 * МАТ) + (1 * ФА + 1 * ИИ),460.75
ЛОЗЕНЕЦ,2211304,"Национална природо-математическа  гимназия ""Академик Любомир Чакалов"", ГР.СОФИЯ",835,Природни науки - АЕ БЗО ХООС,"(1 * БЕЛ + 1 * МАТ + 2 * БИО, ОК) + (1 * БЗО + 1 * ХООС) или (1 * БЕЛ + 1 * МАТ + 2 * НПМГ, Б) + (1 * БЗО + 1 * ХООС)",458.72
ЛОЗЕНЕЦ,2211304,"Национална природо-математическа  гимназия ""Академик Любомир Чакалов"", ГР.СОФИЯ",830,Математически - АЕ ФА М,"(1 * БЕЛ + 2 * МАТ + 1 * НПМГ, Ф) + (1 * М + 1 * ФА) или (1 * БЕЛ + 2 * МАТ + 1 * ФИЗ, ОК) + (1 * М + 1 * ФА)",458.38
ТРИАДИЦА,2224073,"73.СУ с преподаване на чужди езици  ""Владислав Граматик"", ГР.СОФИЯ",5128,"Математически - НЕ интензивно, РЕ, М и ФА",(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М),457
ТРИАДИЦА,2224073,"73.СУ с преподаване на чужди езици  ""Владислав Граматик"", ГР.СОФИЯ",2656,"Чужди езици - НЕ интензивно, ФЕ",(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М),456.5
ТРИАДИЦА,2206302,"Втора английска езикова гимназия  ""Томас Джеферсън"", ГР.СОФИЯ",2018,"Чужди езици - АЕ интензивно, НЕ",(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М),453
